Players,Team,Type,Sold,Age
Himanshu Singh,-,BOWL,TBA,34
Towhid Hridoy,-,BAT,TBA,33
Mikyle Louis,-,BAT,TBA,30
Harry Tector,-,BAT,TBA,25
Rassie van der Dussen,-,BAT,TBA,25
Will Young,-,BAT,TBA,26
Najibullah Zadran,-,BAT,TBA,28
Ibrahim Zadran,-,BAT,TBA,32
Sean Abbott,-,AR,TBA,29
Jacob Bethell,RCB,AR,2.6,27
Brydon Carse,SRH,AR,1,17
Aaron Hardie,PBKS,AR,1.25,27
Sarfaraz Khan,-,AR,Unsold,23
Kyle Mayers,-,AR,Unsold,34
Kamindu Mendis,SRH,AR,0.75,31
Matthew Short,-,AR,Unsold,29
Jason Behrendorff,-,BOWL,Unsold,22
Dushmantha Chameera,DC,BOWL,0.75,20
Nathan Ellis,CSK,BOWL,2,
Shamar Joseph,LSG,BOWL,0.75,
Josh Little,-,BOWL,TBA,
Shivam Mavi,-,BOWL,Unsold,
Jhye Richardson,-,BOWL,TBA,Age
Navdeep Saini,-,BOWL,Unsold,
Tanmay Agarwal,-,BAT,TBA,
Amandeep Khare,-,BAT,TBA,20
Ayush Mhatre,-,BAT,TBA,21
Salman Nizar,-,BAT,Unsold,25
Aniket Verma,SRH,BAT,0.3,22
Sumeet Verma,-,BAT,TBA,24
Manan Vohra,-,BAT,TBA,25
Samarth Vyas,-,BAT,TBA,23
Raj Bawa,MI,AR,0.3,29
Emanjot Singh Chahal,-,AR,Unsold,24
Musheer Khan,PBKS,AR,0.3,23
Manvanth Kumar,DC,AR,0.3,29
Mayank Rawat,-,AR,TBA,22
Suryansh Shedge,PBKS,AR,0.3,21
Hrithik Shokeen,-,AR,TBA,27
Sonu Yadav,-,AR,TBA,21
Rithik Easwaran,-,BAT,TBA,33
Anmol Malhotra,-,BAT,TBA,31
Pradosh Ranjan Paul,-,BAT,TBA,23
Karteek Sharma,-,BAT,TBA,19
Akash Singh,-,BAT,TBA,23
Tejasvi Singh,-,BAT,TBA,28
Siddarth Yadav,-,BAT,TBA,29
Saurabh Dubey,-,BOWL,TBA,25
Aaqib Khan,-,BOWL,TBA,31
Kulwant Khejroliya,GT,BOWL,0.3,29
Ankit Rajpoot,-,BOWL,TBA,27
Divesh Sharma,-,BOWL,Unsold,24
Naman Tiwari,-,BOWL,Unsold,24
Prince Yadav,LSG,BOWL,0.3,27
Kunal Singh Chibb,-,BOWL,TBA,34
Yuvraj Chudasama,-,BOWL,TBA,30
Deepak Devadiga,-,BOWL,TBA,23
Ramesh Prasad,-,BOWL,TBA,41
Shivam Shukla,-,BOWL,TBA,22
Himanshu Singh,-,BOWL,TBA,32
Tejpreet Singh,-,BOWL,TBA,26
Qais Ahmad,-,AR,TBA,24
Charith Asalanka,-,AR,TBA,32
Michael Bracewell,-,AR,Unsold,29
Gudakesh Motie,-,AR,TBA,23
Dan Mousley,-,AR,TBA,27
Jamie Overton,CSK,AR,1.5,34
Dunith Wellalage,-,AR,TBA,22
Ottneil Baartman,-,BOWL,Unsold,26
Xavier Bartlett,PBKS,BOWL,0.8,29
Dilshan Madushanka,-,BOWL,Unsold,26
Adam Milne,-,BOWL,Unsold,29
Lungi Ngidi,RCB,BOWL,1,24
William O’Rourke,-,BOWL,Unsold,26
Chetan Sakariya,-,BOWL,Unsold,26
Sandeep Warrier,-,BOWL,Unsold,30
Musaif Ajaz,-,BAT,TBA,23
Agni Chopra,-,BAT,TBA,28
Abhimanyu Easwaran,-,BAT,TBA,29
Sudip Kumar Gharami,-,BAT,TBA,25
Shubham Khajuria,-,BAT,TBA,19
Akhil Rawat,-,BAT,TBA,25
Prateek Yadav,-,BAT,TBA,27
Abdul Basith,-,AR,Unsold,32
KC Cariappa,-,AR,TBA,22
Yuvraj Chaudhary,LSG,AR,Unsold,32
Aman Khan,-,AR,TBA,30
Sumit Kumar,-,AR,TBA,24
Kamlesh Nagarkoti,CSK,AR,0.3,27
Hardik Raj,-,AR,TBA,34
Harsh Tyagi,-,AR,TBA,34
M Ajnas,-,BAT,TBA,
Unmukt Chand,-,BAT,TBA,
Tejasvi Dahiya,-,BAT,Unsold,
Sumit Ghadigaonkar,-,BAT,TBA,
Baba Indrajith,-,BAT,TBA,Age
Muhammed Adnan Khan,-,BAT,TBA,
Bhagmender Lather,-,BAT,TBA,
Baltej Singh,-,BOWL,TBA,21
Ali Khan,-,BOWL,TBA,26
Ravi Kumar,-,BOWL,TBA,24
Vineet Panwar,-,BOWL,TBA,20
Vidyadhar Patil,-,BOWL,TBA,28
Aaradhya Shukla,-,BOWL,TBA,21
Abhinandan Singh,RCB,BOWL,0.3,30
Cooper Connolly,-,AR,TBA,33
Dushan Hemantha,-,AR,TBA,26
Jason Holder,-,AR,TBA,34
Karim Janat,GT,AR,0.75,32
James Neesham,-,AR,TBA,25
Daniel Sams,-,AR,TBA,30
Will Sutherland,-,AR,TBA,30
Taskin Ahmed,-,BOWL,TBA,28
Ben Dwarshuis,-,BOWL,TBA,28
Obed McCoy,-,BOWL,TBA,27
Riley Meredith,-,BOWL,TBA,31
Lance Morris,-,BOWL,Unsold,33
Olly Stone,-,BOWL,Unsold,24
Daniel Worrall,-,BOWL,TBA,19
Pyla Avinash,PBKS,BAT,0.3,20
Kiran Chormale,-,BAT,TBA,24
Ashish Dahariya,-,BAT,TBA,28
Tushar Raheja,-,BAT,TBA,30
Sarthak Ranjan,-,BAT,TBA,20
Abhijeet Tomar,-,BAT,TBA,33
Krish Bhagat,-,AR,TBA,22
